region,event_id,phase,n_test_months,n_training_months,RMSE_M1,RMSE_M3,delta_RMSE_M3_minus_M1,MAE_M1,MAE_M3,delta_MAE_M3_minus_M1,Pearson_r_M1,Pearson_r_M3,M3_better_RMSE,M3_better_MAE,finite_models,rank_deficient
CP,LaNina_03,La Nina,12,224,1.2938874866910615,1.189384875321298,-0.10450261136976335,1.087292160339266,0.946080492415836,-0.14121166792342998,0.6630136980063002,0.6471075347244444,True,True,True,False
CP,LaNina_04,La Nina,4,232,1.1344733076040583,0.6041337816997477,-0.5303395259043105,0.8845228452894444,0.5074473705992846,-0.3770754746901598,0.4278999737944232,0.9544929428754451,True,True,True,False
CP,LaNina_05,La Nina,12,224,1.0259025649412457,0.4356078471856734,-0.5902947177555722,0.7729818757949233,0.3298018223373046,-0.4431800534576187,0.6368375073480693,0.9199980336714749,True,True,True,False
CP,LaNina_06,La Nina,9,227,1.0187579474583215,0.6409199198448626,-0.37783802761345886,0.9301680914193362,0.5240502021290516,-0.4061178892902846,0.8691617795409498,0.9060600326975868,True,True,True,False
CP,LaNina_07,La Nina,2,234,1.1702960758319576,1.6770962138699612,0.5068001380380036,1.1506678927108627,1.3149207373296166,0.1642528446187539,-1.0,-1.0,False,False,True,False
CP,LaNina_08,La Nina,1,235,1.0232373249016802,0.9249782570012279,-0.09825906790045225,1.0232373249016802,0.9249782570012279,-0.09825906790045225,,,True,True,True,False
CP,LaNina_09,La Nina,5,231,0.701960341568916,0.3254985127789148,-0.3764618287900012,0.5706411772715461,0.27909744013183124,-0.2915437371397148,0.30306214517833824,0.8968917930834914,True,True,True,False
CP,LaNina_10,La Nina,7,229,1.394401593667103,0.9357893622683187,-0.4586122313987844,1.155479363799817,0.8589445579110148,-0.2965348058888023,-0.06570557779117973,0.690262259067459,True,True,True,False
CP,LaNina_11,La Nina,9,227,1.2510542768043584,0.9820927928309648,-0.2689614839733936,1.0204020425727367,0.7286018429549773,-0.2918001996177594,0.20607150661042484,0.3553160889726957,True,True,True,False
CP,LaNina_12,La Nina,18,223,1.149566011973798,0.8509650419911707,-0.2986009699826273,0.864609671933901,0.654916813032434,-0.20969285890146705,-0.029988986585434797,0.4960000711923983,True,True,True,False
EP,ElNino_01,El Nino,8,234,1.0512515640127404,0.78703512909251,-0.2642164349202304,0.967463172974932,0.7219244065567232,-0.24553876641820882,0.8251586707782055,0.9030513332852825,True,True,True,False
EP,ElNino_02,El Nino,6,230,0.7688807780302381,0.7300760874027208,-0.038804690627517346,0.6303558345735774,0.6280643614406002,-0.002291473132977173,0.9380246487338526,0.9679070809601513,True,True,True,False
EP,ElNino_03,El Nino,5,231,1.3318482205622764,1.5913943936917854,0.259546173129509,1.1298226951076114,1.3640374243992395,0.23421472929162812,0.9485335542927175,0.9712847803835153,False,False,True,False
EP,ElNino_04,El Nino,8,228,1.7700371341063337,1.819277533175255,0.049240399068921414,1.468565186628222,1.4159922211322526,-0.05257296549596946,0.8537125746706836,0.8368223973641483,False,True,True,False
EP,ElNino_05,El Nino,3,233,0.6757762036958993,0.3642238887139284,-0.3115523149819709,0.6697197983673555,0.33767892721537035,-0.33204087115198516,0.9502717066894296,0.98775861447155,True,True,True,False
