region,cloud_type,ctp_bin,tau_bin,physical_group,CF0,Q0_SW,Q0_LW,Q0_Net,CRE0_SW_ratio,CRE0_LW_ratio,CRE0_Net_ratio,CRE0_SW_monthlymean,CRE0_LW_monthlymean,CRE0_Net_monthlymean,difference_ratio_minus_monthlymean_Net,valid_n_kernel,display_valid_n_ge_24,sensitivity_valid_n_ge_48
WP,23,560-440,22.63-60.36,mid-level cloud,0.0008435030981338744,-0.1380928013607934,0.039204563126843874,-0.09888823823394954,-163.71344890884606,46.478268086481435,-117.23518082236463,-165.85865500226382,46.33652932765086,-119.52212567461298,2.2869448522483538,248,True,True
WP,24,560-440,60.36-378.65,mid-level cloud,2.3582594351109153e-05,-0.005265043775150549,0.0011217001655774532,-0.004143343609573097,-223.25973541171987,47.56474834265623,-175.69498706906367,-225.52358732814685,46.45805560985682,-179.06553171829,3.370544649226332,248,True,True
WP,25,440-310,0.02-1.27,thin high cloud,0.054466077526293656,-1.0023977759521028,1.980921861091022,0.9785240851389193,-18.404075003715704,36.3698278095155,17.96575280579979,-18.29678153238415,36.18387453194024,17.887092999556092,0.07865980624369939,248,True,True
WP,26,440-310,1.27-3.55,thin high cloud,0.024730345011639156,-1.317885425226455,1.569296633193639,0.2514112079671846,-53.29021591110847,63.45631783361943,10.166101922510977,-53.56013366574586,63.33102220869431,9.77088854294845,0.3952133795625272,248,True,True
WP,27,440-310,3.55-9.38,thick anvil cloud,0.017415284775653767,-1.8054748066868376,1.2651131921712098,-0.5403616145156277,-103.67185090253916,72.64384180153137,-31.028009101007804,-103.9364172096454,72.88912349545583,-31.04729371418956,0.019284613181756782,248,True,True
WP,28,440-310,9.38-22.63,thick anvil cloud,0.009961410129626433,-1.470909040815056,0.7702039624400216,-0.700705078375034,-147.66072490484007,77.31876836888206,-70.34195653595798,-147.90995944319528,77.70281271885031,-70.20714672434497,-0.1348098116130103,248,True,True
WP,29,440-310,22.63-60.36,deep convective cloud,0.0018506732953597642,-0.34385888489344485,0.14567741495135908,-0.19818146994208583,-185.8020460745882,78.71590048693058,-107.08614558765764,-186.51518492442003,79.21024055012664,-107.30494437429341,0.218798786635773,248,True,True
WP,30,440-310,60.36-378.65,deep convective cloud,9.534274702991289e-05,-0.02176369881901403,0.007904063239120495,-0.013859635579893536,-228.2680067125177,82.9015681354416,-145.3664385770761,-229.21388069665744,83.52257838495161,-145.6913023117058,0.32486373462970164,248,True,True
WP,31,310-180,0.02-1.27,thin high cloud,0.0711193568016528,-1.0903040669957071,2.0727697125143636,0.9824656455186569,-15.330623279348455,29.144944579507122,13.814321300158674,-15.29883878226748,29.156373709516693,13.857534927249214,-0.04321362709053922,248,True,True
WP,32,310-180,1.27-3.55,thin high cloud,0.07647447277199089,-4.990120279300723,6.252902687128521,1.2627824078277992,-65.25210437447274,81.76457398760483,16.51246961313212,-65.26713026411099,81.73230331648807,16.46517305237709,0.047296560755029304,248,True,True
WP,33,310-180,3.55-9.38,thick anvil cloud,0.0757565285552149,-8.692506780879397,8.173360896077204,-0.5191458848021919,-114.74267560377837,107.88985519736528,-6.85282040641308,-114.64796262489298,107.88287531955046,-6.765087305342514,-0.0877331010705662,248,True,True
WP,34,310-180,9.38-22.63,thick anvil cloud,0.047782898714041774,-7.965261342560222,5.882623269799798,-2.0826380727604232,-166.6969053139403,123.11147770679501,-43.585427607145284,-166.5372218035071,123.25529747722824,-43.28192432627887,-0.30350328086641554,248,True,True
