month,region,phase_index,HCCF_anom,HCTB_anom,LCSP_anom,Direct_Net_anom_formal,direct_source_verified,metric_source_verified
2011-05-01,CP,-1,-0.0026976129,-0.0046219269,-0.0013871812,-0.7073448224,True,True
2011-06-01,CP,0,-0.0334522250,0.0121562736,-0.0276412812,-2.2328185434,True,True
2011-07-01,CP,0,-0.0393187923,0.0025561806,-0.0305147295,-1.6136259003,True,True
2011-08-01,CP,-1,-0.0267825601,0.0076127247,-0.0345960139,-2.2737141119,True,True
2011-09-01,CP,-1,-0.0792082144,0.0090613523,-0.0438237636,-1.7443240344,True,True
2011-10-01,CP,-1,-0.0721253486,0.0119392835,-0.0269189630,-0.7645131022,True,True
2011-11-01,CP,-1,-0.0168635517,0.0208445976,-0.0152310512,-1.8734332424,True,True
2011-12-01,CP,-1,-0.1082181212,0.0215041609,-0.0506506182,-1.4320791362,True,True
2012-01-01,CP,-1,-0.1387270684,0.0232220794,-0.0590247790,-1.3571204358,True,True
2012-02-01,CP,-1,-0.1374876513,-0.0095789587,-0.0423449060,1.9807323989,True,True
2012-03-01,CP,-1,-0.0486637686,0.0096111917,-0.0336597366,-1.6332009522,True,True
2012-04-01,CP,-1,-0.0108250731,-0.0132167560,-0.0039488472,0.4096034334,True,True
2012-05-01,CP,0,-0.0014750506,-0.0274893591,-0.0231653252,0.2887336861,True,True
2012-06-01,CP,0,-0.0371878605,-0.0074091110,-0.0197532700,-0.2546356521,True,True
2012-07-01,CP,0,0.0325220506,-0.0132574610,-0.0098660379,0.1524573908,True,True
2012-08-01,CP,1,-0.0144746527,-0.0152045629,-0.0108766799,0.7264290295,True,True
2012-09-01,CP,0,0.0227781843,-0.0097441368,-0.0037569840,0.7609007212,True,True
2012-10-01,CP,0,0.0228486221,-0.0173145907,0.0132806063,0.8407134044,True,True
2012-11-01,CP,0,0.0323241425,-0.0131633520,0.0071522551,0.1618155635,True,True
2012-12-01,CP,0,0.0189125755,0.0029500105,0.0112669672,-1.0071114336,True,True
2013-01-01,CP,-1,0.0659013686,-0.0238522036,0.0142235414,-1.3460025408,True,True
2013-02-01,CP,-1,-0.0319614096,-0.0131663550,-0.0254544668,0.5557663285,True,True
2013-03-01,CP,0,0.0310989507,-0.0012750689,0.0091405465,-1.7844629530,True,True
2013-04-01,CP,0,-0.0479753605,-0.0339459866,-0.0219457391,1.8962355887,True,True
2013-05-01,CP,0,-0.0455962430,-0.0039962938,-0.0163047512,0.4210208069,True,True
2013-06-01,CP,0,0.0005634224,-0.0029971219,-0.0080380436,-0.3586941797,True,True
2013-07-01,CP,0,-0.0214856151,0.0082536940,-0.0074052185,0.5327504633,True,True
2013-08-01,CP,0,-0.0132901226,-0.0015698375,0.0086040600,1.2245025683,True,True
2013-09-01,CP,0,-0.0154684889,0.0060949099,-0.0074561735,-1.9715861315,True,True
2013-10-01,CP,0,0.0215541341,0.0013922284,0.0096512433,-0.5489199969,True,True
2013-11-01,CP,0,-0.0090674753,-0.0100277085,0.0073582028,1.6506290721,True,True
2013-12-01,CP,0,-0.0509722497,-0.0000844857,-0.0152386814,-0.3883661945,True,True
2014-01-01,CP,-1,-0.0189277081,-0.0060434542,-0.0049726607,-0.9967089095,True,True
2014-02-01,CP,-1,0.0186519287,-0.0003135794,0.0122283993,-0.6928779792,True,True
2014-03-01,CP,0,0.0779854225,0.0125902451,0.0260404623,-1.2503493529,True,True
2014-04-01,CP,0,0.0644176020,0.0310020589,0.0223752918,-1.8217176886,True,True
2014-05-01,CP,0,0.0203565206,-0.0242663947,0.0131285076,2.4048676912,True,True
2014-06-01,CP,0,0.0692921207,-0.0373812152,0.0189494542,0.8090846378,True,True
2014-07-01,CP,0,0.0167935684,0.0028579588,0.0075378807,-2.4153487888,True,True
2014-08-01,CP,0,-0.0089900704,-0.0007418460,0.0069167866,0.6013585954,True,True
2014-09-01,CP,0,0.0160149003,-0.0217550664,0.0158141743,1.0373746384,True,True
2014-10-01,CP,1,0.0408704765,-0.0322178200,0.0237181292,1.8228786048,True,True
2014-11-01,CP,1,0.0296441153,-0.0197717234,0.0292840839,2.5631697326,True,True
2014-12-01,CP,1,0.0458239721,-0.0116743018,0.0227415555,-0.0372960680,True,True
2015-01-01,CP,1,0.0183776337,-0.0270769507,0.0115447339,0.6226342131,True,True
2015-02-01,CP,0,0.0178013469,-0.0409269373,0.0222290046,2.2636584883,True,True
2015-03-01,CP,1,0.1572039996,0.0264360748,0.0531773516,-2.3803312463,True,True
2015-04-01,CP,1,0.1033118115,-0.0120278232,0.0489116825,0.7728593827,True,True
2015-05-01,CP,1,0.1008480576,-0.0027574952,0.0359140118,-0.3793341134,True,True
