region,cloud_type,ctp_bin,tau_bin,physical_group,DeltaCF_paired,CRE0_SW_ratio,CRE0_LW_ratio,CRE0_Net_ratio,AmountSW_candidate,AmountLW_candidate,AmountNet_candidate,valid_n_kernel,display_valid_n_ge_24,sensitivity_valid_n_ge_48,SW_LW_Net_closure_residual
TP,14,680-560,1.27-3.55,mid-level cloud,0.0017406865342801774,-38.42775713727587,27.170123698567355,-11.25763343870852,-0.06689067939144508,0.047294668456822925,-0.01959601093462217,248,True,True,-1.3877787807814457e-17
TP,15,680-560,3.55-9.38,mid-level cloud,0.0006654475333572468,-76.35261379806768,32.10345460802445,-44.24915919004324,-0.050808658517302624,0.02136316468115621,-0.029445493836146423,248,True,True,-6.938893903907228e-18
TP,16,680-560,9.38-22.63,mid-level cloud,-0.0005441554475298328,-122.5831778488344,30.415878712207466,-92.16729913662694,0.06670430400196156,-0.016550966092654367,0.050153337909307205,248,True,True,1.3877787807814457e-17
TP,17,680-560,22.63-60.36,mid-level cloud,-0.00014850419951006237,-162.28643869431028,28.170255447534014,-134.11618324677627,0.02410021766963736,-0.004183401235230012,0.019916816434407347,248,True,True,0.0
TP,18,680-560,60.36-378.65,mid-level cloud,2.098524073174503e-06,-215.5488285088797,27.70077542258916,-187.84805308629055,-0.0004523344055704467,5.813074406990397e-05,-0.00039420366150054274,248,True,True,-5.421010862427522e-20
TP,19,560-440,0.02-1.27,mid-level cloud,0.0008249933750607693,-9.852690553859969,18.770572577172103,8.917882023312133,-0.008128404433458296,0.015485598022264336,0.007357193588806039,248,True,True,-8.673617379884035e-19
TP,20,560-440,1.27-3.55,mid-level cloud,0.0006058584398362377,-45.52413749817286,45.482939373447415,-0.0411981247254543,-0.027581182919533376,0.027556222687963036,-2.4960231570342473e-05,248,True,True,-2.2260025853843013e-18
TP,21,560-440,3.55-9.38,mid-level cloud,0.0011627007741913681,-84.66184366411753,50.22109178080583,-34.4407518833117,-0.09843639117273803,0.05839210229427869,-0.04004428887845933,248,True,True,6.938893903907228e-18
TP,22,560-440,9.38-22.63,mid-level cloud,0.0001550229674666696,-131.8705628559093,49.58495379665607,-82.2856090592532,-0.020442965975423034,0.007686806679255329,-0.012756159296167703,248,True,True,1.734723475976807e-18
TP,23,560-440,22.63-60.36,mid-level cloud,-7.240433095972911e-05,-172.87900925580297,47.77955935292124,-125.0994499028817,0.01251718900214723,-0.00345944702849893,0.009057741973648299,248,True,True,-1.734723475976807e-18
