region,cloud_type,ctp_bin,tau_bin,physical_group,DeltaCF_paired,CRE0_Net_ratio,AmountNet_candidate,ci_low_95,ci_high_95,significant,sign_stability_probability,valid_n_kernel,display_valid_n_ge_24,sensitivity_valid_n_ge_48,plot_dot,plot_hatch,support,term
WP,17,680-560,22.63-60.36,mid-level cloud,0.0002471708090002046,-125.9140476707476,-0.031122277027269017,-0.04374402189519126,-0.008062908573077525,True,0.9965,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
WP,18,680-560,60.36-378.65,mid-level cloud,6.228294435569762e-06,-184.3951467237907,-0.0011484672662858556,-0.0018954865993586697,-0.0001469580669579227,True,0.9865,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
WP,19,560-440,0.02-1.27,mid-level cloud,-0.0028312082379340388,6.821282601377728,-0.019312471494296754,-0.027806189893179924,-0.0135429638593551,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
WP,20,560-440,1.27-3.55,mid-level cloud,-0.0020323115325297132,-2.182083545049273,0.0044346735535469575,0.0029664603135476494,0.007090787130925547,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
WP,21,560-440,3.55-9.38,mid-level cloud,-0.002756289592031334,-32.65452993255849,0.09000534098578662,0.03848651183260704,0.15306528623246496,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
WP,22,560-440,9.38-22.63,mid-level cloud,-0.00017049583709902172,-76.77961781869273,0.01309060521214098,-0.036642391023223586,0.08201637096955768,False,0.7725,248,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
WP,23,560-440,22.63-60.36,mid-level cloud,6.890632247240119e-05,-117.23518082236464,-0.008078245174856122,-0.022646133223170037,0.014280247989164729,False,0.659,248,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
WP,24,560-440,60.36-378.65,mid-level cloud,4.343623596435261e-06,-175.69498706906367,-0.0007631528916085731,-0.0015240069922830449,0.0003044848420802987,False,0.8885,248,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
WP,25,440-310,0.02-1.27,thin high cloud,-0.009181393121683513,17.96575280579979,-0.16495063923703648,-0.2672534932625567,-0.061377909373778586,True,0.999,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
WP,26,440-310,1.27-3.55,thin high cloud,-0.004283180785767362,10.166101922510975,-0.04354325242065165,-0.07810198070689962,-0.02050314626867595,True,0.9995,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
WP,27,440-310,3.55-9.38,thick anvil cloud,-0.003262272940047316,-31.028009101007804,0.10122183447375961,0.060325298090561016,0.14265189238844625,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
WP,28,440-310,9.38-22.63,thick anvil cloud,-0.0015315308784429726,-70.34195653595798,0.10773087848491311,0.04242226745619096,0.17715364959213087,True,0.999,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
WP,29,440-310,22.63-60.36,deep convective cloud,-0.00019255507924439107,-107.08614558765764,0.020619981249607816,-0.0032424696393214226,0.04692739566422095,False,0.956,248,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
WP,30,440-310,60.36-378.65,deep convective cloud,-3.982222943678699e-06,-145.3664385770761,0.0005788815669424928,-0.0011354056366418889,0.003025624719672762,False,0.827,248,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
WP,31,310-180,0.02-1.27,thin high cloud,-0.012646428553193034,13.814321300158674,-0.17470182733330938,-0.24733386558565665,-0.049349632360109225,True,0.999,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
WP,32,310-180,1.27-3.55,thin high cloud,-0.015456782922139742,16.51246961313212,-0.25522965831861194,-0.34294429909544505,-0.12688988498260412,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
WP,33,310-180,3.55-9.38,thick anvil cloud,-0.01744429391160883,-6.85282040641308,0.11954261329294044,0.07612962108310399,0.15763290713723704,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
WP,34,310-180,9.38-22.63,thick anvil cloud,-0.011617067826546125,-43.58542760714528,0.5063348687612227,0.36349782337371594,0.645172200702725,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
WP,35,310-180,22.63-60.36,deep convective cloud,-0.004905132988064508,-74.87571315663789,0.3672753306094802,0.27957414054561197,0.48266791754244165,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
WP,36,310-180,60.36-378.65,deep convective cloud,-0.00040834099941828737,-100.67737900634948,0.04111070156226645,0.013908370027217985,0.08144046225527193,True,0.9975,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
WP,37,180-10,0.02-1.27,thin high cloud,-0.00260667663569758,7.638780475001137,-0.019911830589408326,-0.03284074062133236,-0.0048973161829205135,True,0.996,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
WP,38,180-10,1.27-3.55,thin high cloud,-0.0011770893575660663,35.90260734042149,-0.04226057700928346,-0.0700635296201926,-0.010001281909172256,True,0.995,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
WP,39,180-10,3.55-9.38,thick anvil cloud,-0.0011128441822560713,20.81336965517713,-0.02316203733390892,-0.039548308447130184,-0.0060962193895871585,True,0.9955,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
WP,40,180-10,9.38-22.63,thick anvil cloud,-0.002250345913613545,-27.621010716641024,0.06215682859606906,0.025873233631856445,0.09605538555229805,True,0.9995,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
WP,41,180-10,22.63-60.36,deep convective cloud,-0.004163641560623812,-62.31077583379352,0.2594397359362966,0.1443392756460505,0.36143862998922466,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
WP,42,180-10,60.36-378.65,deep convective cloud,-0.002682129530875408,-85.42789410868988,0.22912867754941443,0.11413368670143738,0.36241039049455587,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,1,1000-800,0.02-1.27,low cloud,-0.024901919863663607,-10.397432898801092,0.2589160408337644,0.19357633464995738,0.31666467618826366,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,2,1000-800,1.27-3.55,low cloud,-0.025279645322921512,-29.76806694478621,0.7525261743131791,0.6161989400247292,0.8324177167761463,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,3,1000-800,3.55-9.38,low cloud,-0.007322792796036367,-64.6561783842179,0.4734637972911931,0.38047477851675215,0.5317569135968806,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,4,1000-800,9.38-22.63,low cloud,-0.00044751699758604807,-105.84171404773488,0.04736596609000336,0.032247435416428126,0.061103316042589416,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,5,1000-800,22.63-60.36,low cloud,-8.704357252219269e-07,-137.17766179504684,0.00011940433752881982,-0.0002444753058949447,0.0007065043371659624,False,0.794,247,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
CP,6,1000-800,60.36-378.65,low cloud,-7.15711936854906e-11,-146.89665308390846,1.0513568809618733e-08,-7.312362873694892e-08,6.069822471059583e-08,False,0.5115,17,False,False,False,True,paired_valid_candidate_degC05,Occurrence_Net
CP,7,800-680,0.02-1.27,low cloud,0.00047969298471140474,-4.405995525197294,-0.0021135251441069835,-0.006109589427998246,0.0006523558462511528,False,0.933,248,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
CP,8,800-680,1.27-3.55,low cloud,0.001928126654602083,-23.298865371635284,-0.04492316334503546,-0.08142175274563455,-0.011822515397585404,True,0.997,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,9,800-680,3.55-9.38,low cloud,-0.0038036006635867974,-60.735179716224174,0.23101236987169366,0.14982698740505784,0.2855516565770727,True,0.9995,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,10,800-680,9.38-22.63,low cloud,-0.001886985416559169,-102.45548055244028,0.19333199764901635,0.15491086161348838,0.21997500432669528,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,11,800-680,22.63-60.36,low cloud,-7.292297643190062e-05,-139.6188344698068,0.010181420975491155,0.00634458627951369,0.014871868883298143,True,0.9995,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,12,800-680,60.36-378.65,low cloud,4.456898144154088e-07,-180.00416457839785,-8.022602270494684e-05,-0.00015821403405334738,-2.2443445309380913e-06,True,0.977,243,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,13,680-560,0.02-1.27,mid-level cloud,0.004076043234420908,1.8167246548947509,0.007405048238389408,0.0052294311186828,0.009283980652656941,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,14,680-560,1.27-3.55,mid-level cloud,0.005441776263940264,-9.312235225198943,-0.05067510061271603,-0.06378899302503932,-0.03131298385053823,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,15,680-560,3.55-9.38,mid-level cloud,0.001574954679275856,-41.24398272914038,-0.06495740359123223,-0.10164143466066554,-0.018088824828925786,True,0.996,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,16,680-560,9.38-22.63,mid-level cloud,-0.0007833048661168842,-90.2793292397578,0.0707162379032706,0.05283064720113249,0.09625426201168004,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,17,680-560,22.63-60.36,mid-level cloud,-0.00018387482424700246,-133.2532627243256,0.024501920263775012,0.019214555383404986,0.030953824699014563,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,18,680-560,60.36-378.65,mid-level cloud,-2.1740861768140324e-06,-196.04990780620176,0.0004262293945271287,0.0002002329777101765,0.0006050688692978058,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,19,560-440,0.02-1.27,mid-level cloud,0.003022980173932644,9.805876150534855,0.029642969191105824,0.0173063451868211,0.036493676471175546,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
