region,cloud_type,ctp_bin,tau_bin,physical_group,DeltaCF_paired,CRE0_Net_ratio,AmountNet_candidate,ci_low_95,ci_high_95,significant,sign_stability_probability,valid_n_kernel,display_valid_n_ge_24,sensitivity_valid_n_ge_48,plot_dot,plot_hatch,support,term
CP,38,180-10,1.27-3.55,thin high cloud,0.0021075709983477,41.46957549767473,0.0874000746326916,0.057897458163842,0.1152959146370245,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,39,180-10,3.55-9.38,thick anvil cloud,0.0019213284996767,25.62830738600475,0.0492403973792067,0.0327584869451052,0.0655175553725603,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,40,180-10,9.38-22.63,thick anvil cloud,0.0039468619676754,-28.245905474332503,-0.1114826900591975,-0.1476736977020954,-0.0784277970135829,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,41,180-10,22.63-60.36,deep convective cloud,0.0075808354413224,-63.161450152304575,-0.4788165598399095,-0.612348168793044,-0.3491892032949335,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,42,180-10,60.36-378.65,deep convective cloud,0.0071519561022112,-85.37442683470685,-0.6105941529732709,-0.7341841977260269,-0.4631824322371466,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
EP,1,1000-800,0.02-1.27,low cloud,-0.0031233070476232,-10.55197985730893,0.032957073054712,-0.002770741128661,0.0809576952023323,False,0.967,248,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
EP,2,1000-800,1.27-3.55,low cloud,-0.007256938092276,-32.811056711985884,0.2381078073010392,-0.0201396540391498,0.4787348406482416,False,0.96,248,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
EP,3,1000-800,3.55-9.38,low cloud,-0.0042768996454835,-68.83730307603462,0.2944102371219375,-0.9598212834954803,1.5177689989660696,False,0.6545,248,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
EP,4,1000-800,9.38-22.63,low cloud,-0.0008649889878518,-114.3669139843989,0.0989261211711043,-0.8128033704018395,1.1233034289231636,False,0.6555,248,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
EP,5,1000-800,22.63-60.36,low cloud,-0.0005983829951696,-156.60538044094312,0.093709996607931,-0.0298897245743552,0.2356221675227352,False,0.9345,248,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
