region,cloud_type,ctp_bin,tau_bin,physical_group,CF0,Q0_SW,Q0_LW,Q0_Net,CRE0_SW_ratio,CRE0_LW_ratio,CRE0_Net_ratio,CRE0_SW_monthlymean,CRE0_LW_monthlymean,CRE0_Net_monthlymean,difference_ratio_minus_monthlymean_Net,valid_n_kernel,display_valid_n_ge_24,sensitivity_valid_n_ge_48,panels_used,display_value_tp_sw,display_value_tp_lw,display_value_tp_net,display_value_regional_net,baseline_hatch
CP,21,560-440,3.55-9.38,mid-level cloud,0.0110461531885044,-0.9477768214855784,0.5848652345326426,-0.3629115869529354,-85.80152794476118,52.94741296375481,-32.85411498100634,-86.04951789660338,53.2487919881383,-32.80072590846507,-0.0533890725412717,248,True,True,e,,,,-32.85411498100634,False
CP,22,560-440,9.38-22.63,mid-level cloud,0.0047273950437335,-0.6314705123001935,0.2504815863717973,-0.3809889259283961,-133.57684442666604,52.98511845415246,-80.5917259725136,-133.1046135306105,53.07212664427026,-80.03248688634024,-0.5592390861733634,248,True,True,e,,,,-80.5917259725136,False
CP,23,560-440,22.63-60.36,mid-level cloud,0.0007703988398201,-0.1345012596547482,0.0399785862623406,-0.0945226733924075,-174.58652934387163,51.893362497369246,-122.69316684650236,-173.85150075252557,51.58203754361582,-122.26946320890973,-0.4237036375926379,248,True,True,e,,,,-122.69316684650236,False
CP,24,560-440,60.36-378.65,mid-level cloud,1.559157512896402e-05,-0.0036016479416321,0.0008166204569504,-0.0027850274846816,-230.9996207465567,52.37575101911494,-178.6238697274417,-231.85837906914625,51.27972680055738,-180.57865226858883,1.9547825411471251,248,True,True,e,,,,-178.6238697274417,False
CP,25,440-310,0.02-1.27,thin high cloud,0.0360953736927457,-0.684855152985826,1.4043098222921642,0.7194546693063382,-18.97348837043524,38.90553493769186,19.932046567256616,-18.97247112959485,38.88017415224618,19.907703022651337,0.0243435446052799,248,True,True,e,,,,19.932046567256616,False
CP,26,440-310,1.27-3.55,thin high cloud,0.0158537646013583,-0.8910811865072421,1.0694307794199986,0.1783495929127566,-56.20628342311171,67.45595171309475,11.249668289983054,-56.58395539922619,67.52949456938606,10.94553917015987,0.3041291198231839,248,True,True,e,,,,11.249668289983054,False
CP,27,440-310,3.55-9.38,thick anvil cloud,0.0127250196592161,-1.4025954208453464,1.0057050171896738,-0.3968904036556727,-110.22343842349248,79.03367099800784,-31.189767425484657,-110.41365965563584,79.30917079517207,-31.10448886046378,-0.0852785650208751,248,True,True,e,,,,-31.189767425484657,False
CP,28,440-310,9.38-22.63,thick anvil cloud,0.0086407059042839,-1.3379165296342412,0.7266934018071426,-0.6112231278270985,-154.83879956739707,84.10116139317513,-70.73763817422194,-154.4759096253199,84.42976480058141,-70.04614482473846,-0.6914933494834798,248,True,True,e,,,,-70.73763817422194,False
CP,29,440-310,22.63-60.36,deep convective cloud,0.0020785256701392,-0.3995019950777758,0.1775330783406296,-0.221968916737146,-192.20450380630103,85.41298329442093,-106.79152051188008,-191.4998598532516,85.70638274845976,-105.79347710479188,-0.998043407088204,248,True,True,e,,,,-106.79152051188008,False
CP,30,440-310,60.36-378.65,deep convective cloud,0.0001207022540708,-0.0279036759432956,0.0107447194419535,-0.0171589565013421,-231.1777535397599,89.0183826694926,-142.1593708702673,-231.60570972611535,89.32178549149118,-142.2839242346242,0.124553364356899,248,True,True,e,,,,-142.1593708702673,False
