region,ctp_bin,tau_bin,delta_cf,ci_low,ci_high,significant_95
EP,560-440,9.38-22.63,0.0006691166199743748,-0.00023003103350522592,0.001669442976602046,False
EP,560-440,22.63-60.36,-6.867875345051289e-05,-0.0004494348170858605,0.00034448508933822405,False
EP,560-440,60.36-378.65,6.284797564148903e-06,-1.2195076789557968e-05,2.358495427952824e-05,False
EP,440-310,0.02-1.27,0.004487867467105389,0.000745375511812355,0.008339382449364814,True
EP,440-310,1.27-3.55,0.001559035386890173,-0.0001556147802121149,0.0031863779385937177,False
EP,440-310,3.55-9.38,0.0013861940242350101,-0.00026473092027130444,0.003142932772962359,False
EP,440-310,9.38-22.63,0.0012490819208323956,0.00027004552614703047,0.0022932695032490394,True
EP,440-310,22.63-60.36,0.0002851826138794422,-8.121398743175203e-05,0.0006742555009299967,False
EP,440-310,60.36-378.65,1.4904915587976575e-05,-2.7862783143301702e-05,5.9939731638990884e-05,False
EP,310-180,0.02-1.27,0.008357065729796886,0.002463361029037248,0.01537518613219087,True
EP,310-180,1.27-3.55,0.007314198650419712,0.0013391267123663941,0.014383376272017908,True
EP,310-180,3.55-9.38,0.007117250002920628,0.001583573849093073,0.013476685713687564,True
EP,310-180,9.38-22.63,0.005852474831044674,0.0018827105375873153,0.010305849427201424,True
EP,310-180,22.63-60.36,0.0036094142124056816,0.0015883925231339,0.005736812261905629,True
EP,310-180,60.36-378.65,0.00043904315680265427,0.000130777279418759,0.0007512317420657784,True
EP,180-10,0.02-1.27,0.003777455072849989,0.0018640613021663995,0.0055234117726307335,True
EP,180-10,1.27-3.55,0.00041515828343108296,5.261287861745382e-05,0.0008140749797501838,True
EP,180-10,3.55-9.38,0.00021553796250373125,6.977232933417318e-05,0.00039319235885892863,True
EP,180-10,9.38-22.63,0.0005862170364707708,0.00017197962764261892,0.00110350950405432,True
EP,180-10,22.63-60.36,0.001722355606034398,0.0006219540117725826,0.0030776090868943314,True
EP,180-10,60.36-378.65,0.0022718345280736685,0.0011057791566409484,0.00361412757978456,True
