month,region,phase_index,HCCF_anom,HCTB_anom,LCSP_anom,NetPath_low_anom,NetPath_high_total_anom,NetPath_high_contrast_anom,direct_Net_anom,anomaly_convention,detrended,standardized
2004-01-01,CP,0,0.087447740129284,-0.048858402707678,0.037248893256282,0.970101035927455,2.665455999573364,-1.576687655265060,4.370266914367676,calendar_month_anomaly_only,False,False
2004-02-01,CP,0,-0.003136637343139,-0.018700541604889,0.002703811581798,0.207892754363184,0.924323216650562,1.079952749802493,1.202560663223267,calendar_month_anomaly_only,False,False
2004-03-01,CP,0,0.064875652566070,0.021745236788184,0.010914299243034,0.085649735817329,-1.400780230790344,-1.922855153769262,-1.839834094047546,calendar_month_anomaly_only,False,False
2004-04-01,CP,0,0.055056005357661,0.030104005922744,0.017434075525265,0.690565254128060,-1.507883114280149,-1.536097723839230,-1.265487790107727,calendar_month_anomaly_only,False,False
2004-05-01,CP,0,-0.014797543172876,-0.000462255066721,0.003262663494787,0.031733062492305,-0.041740999407589,0.460473490633244,-0.175863906741142,calendar_month_anomaly_only,False,False
2004-06-01,CP,0,0.089487284209518,0.012688419754241,0.031743368624743,0.871382605174627,-0.988672073885132,-2.005973733026094,-0.570252537727356,calendar_month_anomaly_only,False,False
2004-07-01,CP,1,0.060430853974708,-0.031684225585736,0.042915095268171,1.458345350088611,1.816295694468063,-0.206730674296163,3.968092679977417,calendar_month_anomaly_only,False,False
2004-08-01,CP,1,0.033676507831619,-0.000678302278673,0.031994677589776,0.960162131868357,-0.769399340808154,-1.371455408223209,-0.454091936349869,calendar_month_anomaly_only,False,False
2004-09-01,CP,1,0.024344265259240,-0.012266829162326,0.028840185247772,1.183673692108623,0.942050859840704,0.106657328246912,2.641578912734985,calendar_month_anomaly_only,False,False
2004-10-01,CP,1,0.047959290465245,-0.009360901522844,0.031969496099081,1.300012042422230,0.015162970260570,-0.827290865798657,1.393929600715637,calendar_month_anomaly_only,False,False
2004-11-01,CP,1,0.062894199960954,-0.012894427313815,0.034055345889684,1.192143138829708,0.854386623518457,-0.981714977725684,2.299676418304443,calendar_month_anomaly_only,False,False
2004-12-01,CP,1,0.032064892231913,0.005118081811533,0.033460464782745,1.039494574851475,0.127773543352856,-0.263293723632779,1.211666107177734,calendar_month_anomaly_only,False,False
2005-01-01,CP,1,0.036248352614215,-0.012826940276112,0.023375922941445,1.014161568100654,0.296295270032059,-0.151313890767062,1.790265083312988,calendar_month_anomaly_only,False,False
2005-02-01,CP,0,0.186364678455441,0.024071640105002,0.060683276126204,2.197274517895343,-3.058546844097990,-6.869137464176887,-1.942652821540833,calendar_month_anomaly_only,False,False
2005-03-01,CP,1,-0.012081014714399,-0.022729705828214,0.000960859333670,-0.038668327976013,2.084099229455607,1.074133972722914,2.480815172195435,calendar_month_anomaly_only,False,False
2005-04-01,CP,0,0.053042454309510,0.008761724349883,0.015807408452994,0.253811553984522,-0.645246537060816,-1.544213587451228,-1.033118128776550,calendar_month_anomaly_only,False,False
2005-05-01,CP,0,0.043603402498194,-0.015732081425673,0.004643039030608,-0.066624909804028,0.554690897196347,-0.651454725003060,0.748617768287659,calendar_month_anomaly_only,False,False
