month,region,phase_index,NetPath_low_monthly,NetPath_thin_monthly,NetPath_thick_monthly,NetPath_deep_monthly,NetPath_high_total_monthly,NetPath_high_contrast_monthly
2019-01-01,EP,1,-18.149794947423274,0.827308242456991,-0.897752326971096,-1.191114740213107,-1.261558824727211,-2.916175309641194
2019-02-01,EP,1,-15.409249008697666,0.597813106613892,-1.228046442286479,-1.154627068251639,-1.784860403924226,-2.980486617152010
2019-03-01,EP,1,-12.867874060725086,1.482974623603048,-1.596517212894678,-1.661434293198167,-1.774976882489797,-4.740926129695892
2019-04-01,EP,1,-11.831935007993019,1.462622095268735,-2.023577784289191,-1.880736641624299,-2.441692330644755,-5.366936521182225
2019-05-01,EP,1,-12.469703829244072,1.899644451485500,-2.476567054052207,-2.755226469210420,-3.332149071777128,-7.131437974748128
2019-06-01,EP,1,-18.004028833989580,1.354964327371277,-2.101557441315776,-2.365482352949067,-3.112075466893566,-5.822004121636121
2019-07-01,EP,0,-18.713542948844559,1.106934686237047,-2.592405091828332,-2.852571765887623,-4.338042171478908,-6.551911543953002
2019-08-01,EP,0,-26.224786465844261,0.763315888867782,-2.377853882389067,-2.517627837037626,-4.132165830558911,-5.658797608294474
2019-09-01,EP,0,-24.668848255795488,1.061968090433049,-2.726445268517698,-2.831984754744993,-4.496461932829643,-6.620398113695740
2019-10-01,EP,1,-25.746415509610799,0.712668810136483,-1.829386136996214,-1.759366682819188,-2.876084009678919,-4.301421629951886
2019-11-01,EP,1,-25.890793271267000,1.151104883660202,-0.894328811016346,-1.161655440418368,-0.904879367774512,-3.207089135094916
2019-12-01,EP,1,-22.612009424482263,1.151231400896849,-0.941488043808421,-1.264560379383327,-1.054817022294899,-3.357279824088596
2020-01-01,EP,1,-20.263280051482585,1.144495655433856,-1.511533811476914,-1.470941816419082,-1.837979972462140,-4.126971283329851
2020-02-01,EP,0,-17.481239239174666,0.864405391491341,-1.545135808683912,-1.648519671256280,-2.329250088448851,-4.058060871431532
2020-03-01,EP,1,-13.798117010724816,0.787832185515528,-1.305684414938629,-1.178725551187173,-1.696577780610274,-3.272242151641330
2020-04-01,EP,0,-11.951756153958895,1.432201308749826,-2.156284824619421,-2.134053745018235,-2.858137260887830,-5.722539878387482
2020-05-01,EP,0,-14.200226244276410,1.361595070869869,-2.330208581692131,-2.660134850468177,-3.628748361290440,-6.351938503030177
2020-06-01,EP,0,-17.073502958422285,0.957549963841752,-2.326832747750896,-2.658171042400082,-4.027453826309227,-5.942553753992730
2020-07-01,EP,0,-21.266099254873602,1.097653345354673,-2.255151947786988,-2.419761829854065,-3.577260432286380,-5.772567122995726
2020-08-01,EP,-1,-25.105576416849356,1.002011802519712,-2.745463671810182,-2.924101289670858,-4.667553158961327,-6.671576764000752
2020-09-01,EP,-1,-28.704859115717909,0.580828581890958,-2.010009182384511,-2.037156362396768,-3.466336962890320,-4.627994126672236
2020-10-01,EP,-1,-30.954573473720313,0.644094804368716,-1.483033689502869,-1.430981327610142,-2.269920212744295,-3.558109821481726
2020-11-01,EP,-1,-27.245878729357500,0.868636316372364,-0.811471211924044,-0.989220468266402,-0.932055363818082,-2.669327996562810
2020-12-01,EP,-1,-24.850293988187477,1.049345590512940,-0.901842734735743,-1.211748914620853,-1.064246058843656,-3.162937239869536
2021-01-01,EP,-1,-19.222316635337172,0.995986775655068,-1.285427041506147,-1.496713506624797,-1.786153772475877,-3.778127323786012
2021-02-01,EP,-1,-17.281268427545282,0.765318237329734,-1.192110614809587,-1.018531586757590,-1.445323964237443,-2.975960438896911
2021-03-01,EP,-1,-13.438256043447220,1.320437156391409,-1.739831182014611,-1.568291903678483,-1.987685929301685,-4.628560242084503
